거래일자,거래구분,종목명(종목코드),환율,거래수량,거래대금(원),거래대금($),단가(원),단가($),수수료(원),수수료($),제세금(원),제세금($),변제/연체합(원),변제/연체합($),잔고,잔액(원),잔액($)
2025.04.16,환전외화입금,,1430.06,0,1089480,761.84,0,0.00,0,0.00,0,0.00,0,0.00,0,1091768,763.44
2025.04.18,구매,TSLY,1419.90,92,1080159,760.7296,11740,8.2688,1079,0.76,0,0.00,0,0.00,92,2783,1.96
2025.04.21,외화증권배당금입금,TSLY,1421.50,92,73349,51.60,0,0.00,0,0.00,12935,9.10,0,0.00,0,76135,53.56
2025.04.23,환전외화입금,,1432.89,0,606341,423.16,0,0.00,0,0.00,0,0.00,0,0.00,0,683086,476.72
2025.04.23,환전외화입금,,1432.89,0,516714,360.61,0,0.00,0,0.00,0,0.00,0,0.00,0,1199800,837.33
2025.04.25,구매,SMCY,1430.20,25,680775,476.00,27231,19.04,672,0.47,0,0.00,0,0.00,25,516101,360.86
2025.04.25,구매,NVDY,1430.20,25,515587,360.50,20623,14.42,514,0.36,0,0.00,0,0.00,25,0,0.00
2025.04.25,환전외화입금,,1450.77,0,886099,610.78,0,0.00,0,0.00,0,0.00,0,0.00,0,886099,610.78
2025.04.29,구매,NVDY,1439.30,43,876979,609.31,20394,14.17,863,0.60,0,0.00,0,0.00,68,1252,0.87
2025.04.29,외화증권배당금입금,NVDY,1439.30,25,20596,14.31,0,0.00,0,0.00,3641,2.53,0,0.00,0,21848,15.18
2025.05.12,외화증권배당금입금,SMCY,1405.60,25,42196,30.02,0,0.00,0,0.00,7449,5.30,0,0.00,0,63533,45.20
2025.05.20,외화증권배당금입금,TSLY,1398.00,92,83083,59.43,0,0.00,0,0.00,14665,10.49,0,0.00,0,146272,104.63
2025.05.28,외화증권배당금입금,NVDY,1368.30,68,128729,94.08,0,0.00,0,0.00,22713,16.60,0,0.00,0,271894,198.71
2025.05.28,환전외화입금,,1373.19,0,360530,262.55,0,0.00,0,0.00,0,0.00,0,0.00,0,633395,461.26
2025.05.28,환전외화입금,,1373.54,0,632307,460.35,0,0.00,0,0.00,0,0.00,0,0.00,0,1265864,921.61
2025.05.30,구매,TSLY,1381.40,48,635222,459.84,13233,9.58,621,0.45,0,0.00,0,0.00,140,637267,461.32
2025.05.30,구매,NVDY,1381.40,30,635305,459.90,21176,15.33,621,0.45,0,0.00,0,0.00,98,1339,0.97
2025.06.10,외화증권배당금입금,SMCY,1358.90,25,45618,33.57,0,0.00,0,0.00,8044,5.92,0,0.00,0,46936,34.54
2025.06.16,외화증권배당금입금,TSLY,1366.80,140,65510,47.93,0,0.00,0,0.00,11563,8.46,0,0.00,0,112719,82.47
